time,open,high,low,close,mean,volume,adjMean
1752184400,163.93,163.93,163.93,163.93,377.5,213,377.5
1752184405,163.95,163.95,163.95,163.95,484.9,1474,484.9
1752184410,163.97,163.97,163.95,163.95,504.9,300,504.9
1752184415,163.97,163.97,163.97,163.97,477.5,600,477.5
1752184420,163.97,163.97,163.97,163.97,428.2,200,428.2
1752184425,163.95,163.95,163.95,163.95,472.4,700,472.4
1752184430,163.95,163.95,163.95,163.95,409.8,261,409.8
1752184440,163.97,163.97,163.97,163.97,462,622,462
1752184445,163.97,163.97,163.9,163.9,1004.4,5524,1004.4
1752184495,163.93,163.93,163.93,163.93,1019.4,300,1019.4
1752184500,163.91,163.94,163.91,163.94,1061.1,630,1061.1
1752184535,163.9101,163.9101,163.9101,163.9101,931,173,931
1752184540,163.91,163.91,163.91,163.91,925,240,925
1752184545,163.9299,163.9299,163.9299,163.9299,880,150,880
1752184555,163.92,163.92,163.92,163.92,880,200,880
1752184565,163.91,163.91,163.91,163.91,850,400,850
1752184575,163.9299,163.9299,163.9299,163.9299,833.9,100,833.9
1752184580,163.91,163.91,163.91,163.91,936.7,1650,936.7
1752184590,163.91,163.91,163.9,163.9,889.7,5054,889.7
1752184595,163.9,163.9,163.9,163.9,895.4,357,895.4
1752184600,163.91,163.91,163.91,163.91,842.4,100,842.4
1752184605,163.9,163.9,163.9,163.9,835.1,100,835.1
1752184615,163.91,163.91,163.9,163.9,858.3,472,858.3
1752184620,163.91,163.92,163.91,163.92,959.2,1159,959.2
1752184640,163.9,163.9,163.9,163.9,1009.2,700,1009.2
1752184665,163.9,163.9,163.9,163.9,979.2,100,979.2
1752184670,163.89,163.89,163.89,163.89,989.2,200,989.2
1752184675,163.88,163.88,163.8717,163.8717,943.7,1195,943.7
1752184685,163.88,163.88,163.87,163.87,467.3,290,467.3
1752184690,163.869,163.87,163.86,163.86,575.2,1436,575.2
1752184700,163.85,163.85,163.85,163.85,590,248,590
1752184705,163.85,163.85,163.85,163.85,590,100,590
1752184710,163.85,163.85,163.85,163.85,639.9,971,639.9
1752184715,163.85,163.85,163.85,163.85,538.8,148,538.8
1752184720,163.831,163.831,163.82,163.83,744.6,2758,744.6
1752184725,163.83,163.87,163.82,163.85,1569.8,8352,1569.8
1752184730,163.85,163.85,163.85,163.85,1559.8,100,1559.8
1752184740,163.88,163.88,163.88,163.88,1461.6,213,1461.6
1752184745,163.851,163.851,163.851,163.851,1442.6,100,1442.6
1752184755,163.85,163.85,163.83,163.83,1397.8,988,1397.8
1752184760,163.84,163.84,163.84,163.84,1383,100,1383
1752184765,163.83,163.83,163.82,163.82,1441.5,685,1441.5
1752184770,163.82,163.82,163.81,163.81,1757.4,4130,1757.4
